# Device, ACE0398688
# Generated, 14.04.2026 14:19:39
txstart2: id 0xffffffffffffffff, socket 1, 2026-01-24 07:40:58 2593.341kWh 050FE8E3210000 3 2 N
mv: socket 1, 2026-01-29 10:47:28 2739.769 N
mv: socket 1, 2026-01-29 11:02:28 2739.769 N
mv: socket 1, 2026-01-29 11:17:28 2739.769 N
mv: socket 1, 2026-01-29 11:32:29 2739.769 N
mv: socket 1, 2026-01-29 11:39:02 2739.769 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-01-29 11:39:02 2739.769kWh 050FE8E3210000 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-01-30 07:25:09 2739.769kWh 0421102A577481 3 2 N
mv: socket 1, 2026-01-30 07:25:09 2739.769 N
mv: socket 1, 2026-01-30 07:25:11 2739.769 N
mv: socket 1, 2026-01-30 07:40:10 2742.330 N
mv: socket 1, 2026-01-30 07:55:10 2745.087 N
mv: socket 1, 2026-01-30 08:10:10 2747.857 N
mv: socket 1, 2026-01-30 08:25:10 2750.623 N
mv: socket 1, 2026-01-30 08:40:10 2753.387 N
mv: socket 1, 2026-01-30 08:55:10 2756.150 N
mv: socket 1, 2026-01-30 09:10:10 2758.906 N
mv: socket 1, 2026-01-30 09:25:10 2761.667 N
mv: socket 1, 2026-01-30 09:40:11 2764.428 N
mv: socket 1, 2026-01-30 09:55:10 2764.578 N
mv: socket 1, 2026-01-30 10:10:10 2764.578 N
mv: socket 1, 2026-01-30 10:25:10 2764.578 N
mv: socket 1, 2026-01-30 10:40:10 2764.578 N
mv: socket 1, 2026-01-30 10:55:10 2764.578 N
mv: socket 1, 2026-01-30 11:10:10 2764.578 N
mv: socket 1, 2026-01-30 11:25:10 2764.578 N
mv: socket 1, 2026-01-30 11:40:10 2764.578 N
mv: socket 1, 2026-01-30 11:55:10 2764.578 N
mv: socket 1, 2026-01-30 12:10:10 2764.578 N
mv: socket 1, 2026-01-30 12:25:10 2764.578 N
mv: socket 1, 2026-01-30 12:40:10 2764.578 N
mv: socket 1, 2026-01-30 12:55:10 2764.578 N
mv: socket 1, 2026-01-30 13:10:10 2764.578 N
mv: socket 1, 2026-01-30 13:25:10 2764.578 N
mv: socket 1, 2026-01-30 13:40:10 2764.578 N
mv: socket 1, 2026-01-30 13:55:10 2764.578 N
mv: socket 1, 2026-01-30 14:10:10 2764.578 N
mv: socket 1, 2026-01-30 14:25:10 2764.578 N
mv: socket 1, 2026-01-30 14:40:10 2764.578 N
mv: socket 1, 2026-01-30 14:55:10 2764.578 N
mv: socket 1, 2026-01-30 15:10:10 2764.578 N
mv: socket 1, 2026-01-30 15:25:10 2764.578 N
mv: socket 1, 2026-01-30 15:40:10 2764.578 N
mv: socket 1, 2026-01-30 15:55:10 2764.578 N
mv: socket 1, 2026-01-30 16:10:10 2764.578 N
mv: socket 1, 2026-01-30 16:25:10 2764.578 N
mv: socket 1, 2026-01-30 16:40:10 2764.578 N
mv: socket 1, 2026-01-30 16:55:10 2764.578 N
mv: socket 1, 2026-01-30 17:10:10 2765.177 N
mv: socket 1, 2026-01-30 17:20:00 2765.824 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-01-30 17:20:00 2765.824kWh 0421102A577481 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-01-31 07:32:23 2765.824kWh 0421102A577481 3 2 N
mv: socket 1, 2026-01-31 07:32:23 2765.824 N
mv: socket 1, 2026-01-31 07:32:24 2765.824 N
mv: socket 1, 2026-01-31 07:47:24 2768.394 N
mv: socket 1, 2026-01-31 08:02:24 2771.163 N
mv: socket 1, 2026-01-31 08:17:24 2773.931 N
mv: socket 1, 2026-01-31 08:32:24 2776.701 N
mv: socket 1, 2026-01-31 08:47:24 2779.478 N
mv: socket 1, 2026-01-31 09:02:24 2782.255 N
mv: socket 1, 2026-01-31 09:17:24 2785.041 N
mv: socket 1, 2026-01-31 09:32:24 2787.824 N
mv: socket 1, 2026-01-31 09:47:24 2789.348 N
mv: socket 1, 2026-01-31 10:02:24 2789.348 N
mv: socket 1, 2026-01-31 10:17:24 2789.348 N
mv: socket 1, 2026-01-31 10:32:24 2789.348 N
mv: socket 1, 2026-01-31 10:47:24 2789.348 N
mv: socket 1, 2026-01-31 11:02:25 2789.348 N
mv: socket 1, 2026-01-31 11:17:24 2789.348 N
mv: socket 1, 2026-01-31 11:32:24 2789.348 N
mv: socket 1, 2026-01-31 11:47:24 2789.348 N
mv: socket 1, 2026-01-31 12:02:24 2789.348 N
mv: socket 1, 2026-01-31 12:17:24 2789.348 N
mv: socket 1, 2026-01-31 12:32:24 2789.348 N
mv: socket 1, 2026-01-31 12:47:24 2789.348 N
mv: socket 1, 2026-01-31 13:02:24 2789.348 N
mv: socket 1, 2026-01-31 13:17:24 2789.348 N
mv: socket 1, 2026-01-31 13:32:24 2789.348 N
mv: socket 1, 2026-01-31 13:47:24 2789.348 N
mv: socket 1, 2026-01-31 14:02:24 2789.348 N
mv: socket 1, 2026-01-31 14:17:25 2789.348 N
mv: socket 1, 2026-01-31 14:32:24 2789.348 N
mv: socket 1, 2026-01-31 14:47:24 2789.348 N
mv: socket 1, 2026-01-31 15:02:24 2789.348 N
mv: socket 1, 2026-01-31 15:17:24 2789.348 N
mv: socket 1, 2026-01-31 15:29:36 2789.348 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-01-31 15:29:36 2789.348kWh 0421102A577481 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-02-02 07:17:14 2789.348kWh 0421102A577481 3 2 N
mv: socket 1, 2026-02-02 07:17:14 2789.348 N
mv: socket 1, 2026-02-02 07:17:16 2789.348 N
mv: socket 1, 2026-02-02 07:32:15 2791.914 N
mv: socket 1, 2026-02-02 07:47:16 2794.674 N
mv: socket 1, 2026-02-02 08:02:15 2797.423 N
mv: socket 1, 2026-02-02 08:17:15 2800.160 N
mv: socket 1, 2026-02-02 08:32:15 2802.899 N
mv: socket 1, 2026-02-02 08:47:15 2805.638 N
mv: socket 1, 2026-02-02 09:02:15 2808.365 N
mv: socket 1, 2026-02-02 09:17:16 2810.253 N
mv: socket 1, 2026-02-02 09:32:15 2812.139 N
mv: socket 1, 2026-02-02 09:47:15 2813.570 N
mv: socket 1, 2026-02-02 10:02:15 2813.570 N
mv: socket 1, 2026-02-02 10:17:15 2813.570 N
mv: socket 1, 2026-02-02 10:32:15 2813.570 N
mv: socket 1, 2026-02-02 10:47:15 2813.570 N
mv: socket 1, 2026-02-02 11:02:15 2813.570 N
mv: socket 1, 2026-02-02 11:04:26 2813.570 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-02-02 11:04:26 2813.570kWh 0421102A577481 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-02-03 07:28:59 2813.570kWh 050FE8E3210000 3 2 N
mv: socket 1, 2026-02-03 07:28:59 2813.570 N
mv: socket 1, 2026-02-03 07:29:02 2813.570 N
mv: socket 1, 2026-02-03 07:44:00 2815.362 N
mv: socket 1, 2026-02-03 07:59:01 2817.275 N
mv: socket 1, 2026-02-03 08:14:01 2819.173 N
mv: socket 1, 2026-02-03 08:29:00 2821.065 N
mv: socket 1, 2026-02-03 08:44:00 2822.955 N
mv: socket 1, 2026-02-03 08:59:00 2824.841 N
mv: socket 1, 2026-02-03 09:14:00 2826.749 N
mv: socket 1, 2026-02-03 09:29:00 2828.665 N
mv: socket 1, 2026-02-03 09:44:00 2830.573 N
mv: socket 1, 2026-02-03 09:59:00 2832.482 N
mv: socket 1, 2026-02-03 10:14:00 2834.395 N
mv: socket 1, 2026-02-03 10:29:00 2836.308 N
mv: socket 1, 2026-02-03 10:44:00 2838.207 N
mv: socket 1, 2026-02-03 10:59:00 2840.106 N
mv: socket 1, 2026-02-03 11:14:00 2840.604 N
mv: socket 1, 2026-02-03 11:29:00 2840.604 N
mv: socket 1, 2026-02-03 11:44:00 2840.604 N
mv: socket 1, 2026-02-03 11:59:00 2840.604 N
mv: socket 1, 2026-02-03 12:14:00 2840.604 N
mv: socket 1, 2026-02-03 12:29:00 2840.604 N
mv: socket 1, 2026-02-03 12:44:00 2840.604 N
mv: socket 1, 2026-02-03 12:59:00 2840.604 N
mv: socket 1, 2026-02-03 13:14:00 2840.604 N
mv: socket 1, 2026-02-03 13:29:00 2840.604 N
mv: socket 1, 2026-02-03 13:44:00 2840.604 N
mv: socket 1, 2026-02-03 13:59:00 2840.604 N
mv: socket 1, 2026-02-03 14:14:00 2840.604 N
mv: socket 1, 2026-02-03 14:29:00 2840.604 N
mv: socket 1, 2026-02-03 14:44:00 2840.604 N
mv: socket 1, 2026-02-03 14:59:00 2840.604 N
mv: socket 1, 2026-02-03 15:14:00 2840.604 N
mv: socket 1, 2026-02-03 15:29:00 2840.604 N
mv: socket 1, 2026-02-03 15:44:00 2840.604 N
mv: socket 1, 2026-02-03 15:59:00 2840.604 N
mv: socket 1, 2026-02-03 16:12:16 2840.979 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-02-03 16:12:16 2840.979kWh 050FE8E3210000 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-02-04 07:05:58 2840.979kWh 050FE8E3210000 3 2 N
mv: socket 1, 2026-02-04 07:05:58 2840.979 N
mv: socket 1, 2026-02-04 07:06:00 2840.979 N
mv: socket 1, 2026-02-04 07:20:59 2842.765 N
mv: socket 1, 2026-02-04 07:35:59 2844.655 N
mv: socket 1, 2026-02-04 07:50:59 2846.543 N
mv: socket 1, 2026-02-04 08:05:59 2848.428 N
